home_moneyline,date,away_team_abbr,home_team_abbr,home_score,away_score
110,2021-01-16 19:00:00,NYI,NYR,5,0
200,2021-01-16 19:00:00,CAR,DET,4,2
165,2021-01-16 19:00:00,TOR,OTT,2,3
-118,2021-01-16 20:00:00,CLB,NAS,5,2
123,2021-01-16 21:00:00,MIN,LA,3,4
-148,2021-01-16 22:00:00,VAN,CAL,3,0
-210,2021-01-16 22:00:00,ANA,VEG,2,1
-134,2021-01-17 12:00:00,WAS,PIT,4,3
-148,2021-01-17 19:00:00,CHI,FLA,5,2
,2021-01-17 19:00:00,DAL,TB,,
150,2021-01-18 12:00:00,CLB,DET,2,3
117,2021-01-18 17:00:00,BOS,NYI,1,0
-180,2021-01-18 19:00:00,WIN,TOR,3,1
-162,2021-01-18 19:30:00,BUF,PHI,1,6
-195,2021-01-18 20:00:00,SJ,STL,5,4
102,2021-01-18 20:00:00,CAR,NAS,2,4
-150,2021-01-18 21:00:00,VAN,CAL,5,2
-108,2021-01-18 21:00:00,MON,EDM,1,3
120,2021-01-18 21:00:00,MIN,ANA,1,0
-200,2021-01-18 22:00:00,ARI,VEG,4,2
